a;b;c;result
65;9;106;둔각
130;49;1;둔각
25;126;29;둔각
7;54;119;둔각
47;3;130;둔각
13;83;84;예각
95;51;34;둔각
35;10;135;둔각
5;72;103;둔각
4;65;111;둔각
48;55;77;예각
158;8;14;둔각
25;130;25;둔각
114;38;28;둔각
101;29;50;둔각
15;132;33;둔각
123;16;41;둔각
102;19;59;둔각
142;18;20;둔각
115;52;13;둔각
48;69;63;예각
114;53;13;둔각
91;44;45;둔각
114;25;41;둔각
60;92;28;둔각
48;95;37;둔각
154;8;18;둔각
118;5;57;둔각
37;66;77;예각
160;9;11;둔각
9;155;16;둔각
97;31;52;둔각
124;12;44;둔각
82;69;29;예각
45;86;49;예각
17;49;114;둔각
38;59;83;예각
50;26;104;둔각
100;7;73;둔각
105;6;69;둔각
78;54;48;예각
23;147;10;둔각
5;116;59;둔각
14;132;34;둔각
161;5;14;둔각
149;6;25;둔각
44;124;12;둔각
48;85;47;예각
90;89;1;직각
135;13;32;둔각
17;112;51;둔각
84;43;53;예각
45;119;16;둔각
62;73;45;예각
33;1;146;둔각
15;93;72;둔각
12;109;59;둔각
4;33;143;둔각
71;7;102;둔각
2;114;64;둔각
25;118;37;둔각
100;45;35;둔각
55;107;18;둔각
106;26;48;둔각
121;16;43;둔각
82;56;42;예각
19;58;103;둔각
36;48;96;둔각
4;170;6;둔각
26;15;139;둔각
66;51;63;예각
98;69;13;둔각
34;2;144;둔각
17;105;58;둔각
79;51;50;예각
32;69;79;예각
42;10;128;둔각
70;105;5;둔각
78;61;41;예각
38;12;130;둔각
27;93;60;둔각
51;18;111;둔각
114;46;20;둔각
34;62;84;예각
69;21;90;직각
26;147;7;둔각
3;110;67;둔각
64;14;102;둔각
91;69;20;둔각
38;105;37;둔각
31;66;83;예각
71;17;92;둔각
47;71;62;예각
79;94;7;둔각
86;80;14;예각
5;96;79;둔각
94;81;5;둔각
34;70;76;예각
22;32;126;둔각
95;80;5;둔각
128;14;38;둔각
114;3;63;둔각
23;83;74;예각
32;144;4;둔각
27;74;79;예각
16;56;108;둔각
105;32;43;둔각
79;68;33;예각
20;103;57;둔각
90;30;60;직각
82;38;60;예각
107;43;30;둔각
31;82;67;예각
1;6;173;둔각
139;14;27;둔각
11;127;42;둔각
23;89;68;예각
18;120;42;둔각
21;77;82;예각
118;20;42;둔각
56;116;8;둔각
4;58;118;둔각
29;17;134;둔각
91;3;86;둔각
20;92;68;둔각
24;18;138;둔각
55;111;14;둔각
7;23;150;둔각
29;52;99;둔각
84;75;21;예각
96;39;45;둔각
36;54;90;직각
105;8;67;둔각
31;43;106;둔각
124;6;50;둔각
87;80;13;예각
91;9;80;둔각
70;69;41;예각
29;95;56;둔각
123;31;26;둔각
103;73;4;둔각
36;15;129;둔각
21;128;31;둔각
113;9;58;둔각
48;67;65;예각
13;138;29;둔각
18;129;33;둔각
60;67;53;예각
59;56;65;예각
22;152;6;둔각
31;52;97;둔각
21;30;129;둔각
53;94;33;둔각
51;12;117;둔각
24;148;8;둔각
113;23;44;둔각
66;89;25;예각
129;23;28;둔각
47;99;34;둔각
19;157;4;둔각
29;123;28;둔각
25;110;45;둔각
49;121;10;둔각
73;60;47;예각
41;96;43;둔각
96;49;35;둔각
18;153;9;둔각
48;36;96;둔각
48;24;108;둔각
59;112;9;둔각
45;73;62;예각
3;15;162;둔각
135;25;20;둔각
32;27;121;둔각
84;87;9;예각
88;4;88;예각
103;46;31;둔각
85;22;73;예각
19;39;122;둔각
65;100;15;둔각
7;62;111;둔각
123;20;37;둔각
85;69;26;예각
44;51;85;예각
37;57;86;예각
69;43;68;예각
118;52;10;둔각
85;91;4;둔각
1;130;49;둔각
58;24;98;둔각
35;11;134;둔각
9;10;161;둔각
85;78;17;예각
55;64;61;예각
8;75;97;둔각
9;3;168;둔각
94;65;21;둔각
85;9;86;예각
72;25;83;예각
142;31;7;둔각
89;26;65;예각
43;72;65;예각
93;27;60;둔각
157;2;21;둔각
5;82;93;둔각
24;17;139;둔각
27;44;109;둔각
38;8;134;둔각
42;121;17;둔각
134;42;4;둔각
81;96;3;둔각
105;74;1;둔각
10;123;47;둔각
41;31;108;둔각
46;121;13;둔각
48;34;98;둔각
7;52;121;둔각
3;23;154;둔각
45;133;2;둔각
26;58;96;둔각
72;17;91;둔각
87;16;77;예각
11;128;41;둔각
47;100;33;둔각
132;9;39;둔각
84;11;85;예각
48;108;24;둔각
21;64;95;둔각
77;34;69;예각
135;35;10;둔각
62;106;12;둔각
130;45;5;둔각
59;19;102;둔각
34;97;49;둔각
67;19;94;둔각
62;105;13;둔각
26;6;148;둔각
115;41;24;둔각
9;154;17;둔각
52;23;105;둔각
83;74;23;예각
58;76;46;예각
97;59;24;둔각
65;81;34;예각
31;121;28;둔각
101;7;72;둔각
88;19;73;예각
70;39;71;예각
85;67;28;예각
14;131;35;둔각
9;105;66;둔각
115;59;6;둔각
38;60;82;예각
60;71;49;예각
94;16;70;둔각
142;2;36;둔각
19;47;114;둔각
57;65;58;예각
55;98;27;둔각
53;33;94;둔각
29;99;52;둔각
56;18;106;둔각
56;12;112;둔각
34;52;94;둔각
82;15;83;예각
48;11;121;둔각
108;8;64;둔각
25;134;21;둔각
10;124;46;둔각
42;123;15;둔각
19;24;137;둔각
169;2;9;둔각
36;45;99;둔각
11;104;65;둔각
78;69;33;예각
18;124;38;둔각
118;40;22;둔각
1;98;81;둔각
80;12;88;예각
50;122;8;둔각
2;117;61;둔각
16;58;106;둔각
40;29;111;둔각
58;69;53;예각
22;100;58;둔각
86;34;60;예각
174;3;3;둔각
56;21;103;둔각
27;40;113;둔각
14;162;4;둔각
171;6;3;둔각
25;132;23;둔각
69;99;12;둔각
8;150;22;둔각
126;53;1;둔각
14;73;93;둔각
5;32;143;둔각
71;66;43;예각
31;48;101;둔각
55;7;118;둔각
10;143;27;둔각
7;142;31;둔각
35;115;30;둔각
24;135;21;둔각
34;54;92;둔각
55;72;53;예각
9;16;155;둔각
28;43;109;둔각
1;110;69;둔각
39;71;70;예각
65;88;27;예각
34;43;103;둔각
148;31;1;둔각
13;2;165;둔각
74;82;24;예각
29;46;105;둔각
110;7;63;둔각
46;30;104;둔각
58;77;45;예각
19;44;117;둔각
13;78;89;예각
5;144;31;둔각
19;55;106;둔각
22;42;116;둔각
105;1;74;둔각
3;156;21;둔각
40;16;124;둔각
76;31;73;예각
102;2;76;둔각
74;34;72;예각
11;56;113;둔각
121;44;15;둔각
105;58;17;둔각
127;16;37;둔각
10;135;35;둔각
58;30;92;둔각
12;71;97;둔각
52;85;43;예각
57;102;21;둔각
38;49;93;둔각
15;26;139;둔각
93;36;51;둔각
21;11;148;둔각
79;83;18;예각
60;2;118;둔각
138;14;28;둔각
7;75;98;둔각
156;5;19;둔각
128;1;51;둔각
31;21;128;둔각
87;86;7;예각
62;48;70;예각
104;17;59;둔각
28;115;37;둔각
34;42;104;둔각
97;4;79;둔각
11;133;36;둔각
36;42;102;둔각
2;102;76;둔각
45;94;41;둔각
32;71;77;예각
3;155;22;둔각
90;17;73;직각
2;175;3;둔각
26;48;106;둔각
85;77;18;예각
96;14;70;둔각
62;57;61;예각
26;10;144;둔각
19;142;19;둔각
87;46;47;예각
16;92;72;둔각
75;13;92;둔각
6;137;37;둔각
11;108;61;둔각
17;20;143;둔각
13;46;121;둔각
115;47;18;둔각
99;72;9;둔각
26;110;44;둔각
135;43;2;둔각
73;71;36;예각
96;31;53;둔각
35;81;64;예각
57;76;47;예각
4;3;173;둔각
26;24;130;둔각
18;18;144;둔각
47;77;56;예각
153;12;15;둔각
51;106;23;둔각
53;75;52;예각
87;36;57;예각
157;4;19;둔각
20;1;159;둔각
158;2;20;둔각
144;29;7;둔각
119;33;28;둔각
100;58;22;둔각
158;21;1;둔각
46;132;2;둔각
20;102;58;둔각
1;56;123;둔각
7;7;166;둔각
65;3;112;둔각
3;75;102;둔각
65;42;73;예각
122;25;33;둔각
15;45;120;둔각
19;121;40;둔각
16;120;44;둔각
102;14;64;둔각
100;57;23;둔각
6;11;163;둔각
89;11;80;예각
33;126;21;둔각
147;11;22;둔각
9;51;120;둔각
24;97;59;둔각
5;48;127;둔각
4;49;127;둔각
153;15;12;둔각
25;129;26;둔각
135;23;22;둔각
32;61;87;예각
12;151;17;둔각
17;153;10;둔각
95;81;4;둔각
70;15;95;둔각
24;11;145;둔각
49;11;120;둔각
128;30;22;둔각
47;106;27;둔각
8;22;150;둔각
25;115;40;둔각
43;17;120;둔각
32;99;49;둔각
30;79;71;예각
23;32;125;둔각
69;85;26;예각
57;101;22;둔각
62;101;17;둔각
20;149;11;둔각
94;75;11;둔각
29;13;138;둔각
6;85;89;예각
8;113;59;둔각
82;20;78;예각
44;9;127;둔각
24;3;153;둔각
8;4;168;둔각
43;92;45;둔각
14;138;28;둔각
19;72;89;예각
37;16;127;둔각
91;82;7;둔각
13;53;114;둔각
127;13;40;둔각
94;31;55;둔각
77;32;71;예각
57;68;55;예각
7;122;51;둔각
87;2;91;둔각
127;32;21;둔각
9;89;82;예각
25;131;24;둔각
22;138;20;둔각
52;120;8;둔각
107;53;20;둔각
15;130;35;둔각
84;29;67;예각
11;102;67;둔각
74;62;44;예각
18;142;20;둔각
2;140;38;둔각
55;68;57;예각
59;96;25;둔각
68;83;29;예각
67;78;35;예각
17;99;64;둔각
13;82;85;예각
45;107;28;둔각
34;129;17;둔각
105;39;36;둔각
155;4;21;둔각
6;5;169;둔각
19;31;130;둔각
19;124;37;둔각
51;50;79;예각
22;13;145;둔각
3;96;81;둔각
31;17;132;둔각
17;12;151;둔각
67;2;111;둔각
123;54;3;둔각
46;116;18;둔각
93;31;56;둔각
4;134;42;둔각
80;19;81;예각
68;2;110;둔각
78;30;72;예각
18;117;45;둔각
67;82;31;예각
60;80;40;예각
66;9;105;둔각
21;98;61;둔각
162;11;7;둔각
95;83;2;둔각
69;96;15;둔각
118;58;4;둔각
6;59;115;둔각
43;108;29;둔각
18;25;137;둔각
78;71;31;예각
34;142;4;둔각
42;87;51;예각
97;71;12;둔각
10;52;118;둔각
148;3;29;둔각
82;87;11;예각
108;61;11;둔각
37;12;131;둔각
87;48;45;예각
93;38;49;둔각
25;32;123;둔각
49;95;36;둔각
96;27;57;둔각
62;16;102;둔각
47;98;35;둔각
17;27;136;둔각
22;135;23;둔각
12;155;13;둔각
30;2;148;둔각
35;71;74;예각
73;2;105;둔각
150;16;14;둔각
7;30;143;둔각
127;24;29;둔각
17;86;77;예각
51;7;122;둔각
3;162;15;둔각
12;85;83;예각
35;23;122;둔각
89;14;77;예각
149;28;3;둔각
53;83;44;예각
134;1;45;둔각
48;71;61;예각
28;112;40;둔각
97;76;7;둔각
59;63;58;예각
108;33;39;둔각
56;76;48;예각
76;84;20;예각
96;7;77;둔각
40;69;71;예각
96;10;74;둔각
7;167;6;둔각
42;54;84;예각
135;12;33;둔각
25;148;7;둔각
78;68;34;예각
32;91;57;둔각
11;31;138;둔각
29;20;131;둔각
155;10;15;둔각
1;42;137;둔각
49;108;23;둔각
102;48;30;둔각
155;24;1;둔각
36;43;101;둔각
37;53;90;직각
130;20;30;둔각
4;107;69;둔각
100;33;47;둔각
25;27;128;둔각
36;75;69;예각
103;18;59;둔각
70;67;43;예각
8;67;105;둔각
64;73;43;예각
16;83;81;예각
63;45;72;예각
53;54;73;예각
8;124;48;둔각
31;140;9;둔각
17;63;100;둔각
27;21;132;둔각
59;10;111;둔각
37;70;73;예각
23;61;96;둔각
21;9;150;둔각
114;20;46;둔각
120;53;7;둔각
77;77;26;예각
25;54;101;둔각
8;146;26;둔각
11;76;93;둔각
119;60;1;둔각
135;38;7;둔각
90;38;52;직각
17;137;26;둔각
124;14;42;둔각
2;90;88;직각
16;144;20;둔각
30;44;106;둔각
82;76;22;예각
26;39;115;둔각
112;25;43;둔각
46;108;26;둔각
26;138;16;둔각
117;60;3;둔각
11;11;158;둔각
14;119;47;둔각
74;4;102;둔각
39;9;132;둔각
17;147;16;둔각
6;108;66;둔각
100;78;2;둔각
33;72;75;예각
118;9;53;둔각
76;1;103;둔각
57;66;57;예각
76;93;11;둔각
114;5;61;둔각
128;23;29;둔각
62;115;3;둔각
90;87;3;직각
135;9;36;둔각
2;174;4;둔각
101;60;19;둔각
12;143;25;둔각
24;80;76;예각
50;21;109;둔각
83;25;72;예각
14;87;79;예각
5;84;91;둔각
42;12;126;둔각
101;71;8;둔각
129;2;49;둔각
99;15;66;둔각
11;26;143;둔각
109;24;47;둔각
6;135;39;둔각
78;72;30;예각
50;117;13;둔각
5;41;134;둔각
103;61;16;둔각
35;47;98;둔각
107;7;66;둔각
29;44;107;둔각
120;18;42;둔각
42;11;127;둔각
3;108;69;둔각
41;137;2;둔각
160;14;6;둔각
83;56;41;예각
123;32;25;둔각
86;52;42;예각
70;9;101;둔각
7;33;140;둔각
130;38;12;둔각
105;42;33;둔각
86;43;51;예각
29;32;119;둔각
7;26;147;둔각
11;10;159;둔각
58;118;4;둔각
79;26;75;예각
24;37;119;둔각
98;40;42;둔각
78;14;88;예각
58;20;102;둔각
122;31;27;둔각
59;37;84;예각
50;96;34;둔각
3;175;2;둔각
87;74;19;예각
157;19;4;둔각
63;80;37;예각
60;108;12;둔각
120;56;4;둔각
6;26;148;둔각
57;18;105;둔각
10;13;157;둔각
49;117;14;둔각
27;114;39;둔각
39;28;113;둔각
12;61;107;둔각
51;30;99;둔각
6;39;135;둔각
167;6;7;둔각
48;112;20;둔각
35;36;109;둔각
12;90;78;직각
96;72;12;둔각
45;98;37;둔각
60;61;59;예각
16;100;64;둔각
45;37;98;둔각
48;123;9;둔각
17;101;62;둔각
29;2;149;둔각
105;65;10;둔각
55;4;121;둔각
2;67;111;둔각
23;44;113;둔각
53;9;118;둔각
13;47;120;둔각
77;19;84;예각
24;65;91;둔각
99;50;31;둔각
20;140;20;둔각
86;68;26;예각
30;7;143;둔각
101;14;65;둔각
165;12;3;둔각
1;108;71;둔각
107;65;8;둔각
133;8;39;둔각
54;77;49;예각
163;2;15;둔각
122;44;14;둔각
102;24;54;둔각
81;3;96;둔각
33;71;76;예각
91;32;57;둔각
16;62;102;둔각
85;17;78;예각
117;5;58;둔각
82;7;91;둔각
51;31;98;둔각
89;85;6;예각
90;68;22;직각
55;39;86;예각
99;39;42;둔각
56;123;1;둔각
140;35;5;둔각
2;116;62;둔각
66;29;85;예각
79;32;69;예각
43;89;48;예각
26;34;120;둔각
17;159;4;둔각
44;80;56;예각
88;23;69;예각
16;50;114;둔각
46;26;108;둔각
129;32;19;둔각
131;12;37;둔각
32;5;143;둔각
59;36;85;예각
146;27;7;둔각
23;54;103;둔각
6;105;69;둔각
15;104;61;둔각
95;59;26;둔각
69;50;61;예각
52;4;124;둔각
15;154;11;둔각
2;16;162;둔각
32;58;90;직각
45;15;120;둔각
10;49;121;둔각
18;123;39;둔각
80;72;28;예각
155;13;12;둔각
105;5;70;둔각
17;139;24;둔각
53;126;1;둔각
68;27;85;예각
112;53;15;둔각
20;82;78;예각
11;46;123;둔각
1;122;57;둔각
6;138;36;둔각
112;15;53;둔각
36;137;7;둔각
24;151;5;둔각
149;26;5;둔각
81;72;27;예각
25;85;70;예각
45;101;34;둔각
14;76;90;직각
74;31;75;예각
15;70;95;둔각
163;6;11;둔각
45;62;73;예각
12;153;15;둔각
151;7;22;둔각
86;77;17;예각
9;81;90;직각
40;76;64;예각
20;40;120;둔각
46;76;58;예각
7;134;39;둔각
74;94;12;둔각
105;21;54;둔각
83;47;50;예각
65;31;84;예각
78;28;74;예각
16;64;100;둔각
83;15;82;예각
160;10;10;둔각
14;115;51;둔각
79;49;52;예각
7;37;136;둔각
29;129;22;둔각
155;12;13;둔각
4;76;100;둔각
19;69;92;둔각
36;71;73;예각
45;35;100;둔각
20;74;86;예각
32;21;127;둔각
73;13;94;둔각
43;65;72;예각
116;57;7;둔각
32;36;112;둔각
28;36;116;둔각
54;41;85;예각
76;78;26;예각
5;76;99;둔각
71;57;52;예각
144;5;31;둔각
54;75;51;예각
36;73;71;예각
11;9;160;둔각
130;42;8;둔각
129;45;6;둔각
69;26;85;예각
15;89;76;예각
95;46;39;둔각
61;47;72;예각
89;59;32;예각
70;100;10;둔각
43;131;6;둔각
128;35;17;둔각
84;63;33;예각
42;115;23;둔각
49;44;87;예각
10;81;89;예각
54;85;41;예각
31;109;40;둔각
15;48;117;둔각
53;32;95;둔각
145;17;18;둔각
39;30;111;둔각
42;117;21;둔각
152;16;12;둔각
75;47;58;예각
19;88;73;예각
74;86;20;예각
127;5;48;둔각
23;72;85;예각
12;41;127;둔각
158;1;21;둔각
172;4;4;둔각
41;25;114;둔각
64;70;46;예각
15;160;5;둔각
46;103;31;둔각
85;63;32;예각
113;17;50;둔각
138;35;7;둔각
22;97;61;둔각
45;93;42;둔각
139;18;23;둔각
64;56;60;예각
78;37;65;예각
26;124;30;둔각
138;22;20;둔각
154;13;13;둔각
88;86;6;예각
4;119;57;둔각
126;2;52;둔각
45;8;127;둔각
14;113;53;둔각
111;30;39;둔각
15;11;154;둔각
60;63;57;예각
81;60;39;예각
12;100;68;둔각
54;17;109;둔각
38;101;41;둔각
32;9;139;둔각
58;29;93;둔각
68;72;40;예각
11;48;121;둔각
30;80;70;예각
72;1;107;둔각
50;46;84;예각
4;97;79;둔각
59;82;39;예각
34;20;126;둔각
32;136;12;둔각
69;23;88;예각
96;21;63;둔각
10;106;64;둔각
59;21;100;둔각
117;13;50;둔각
57;27;96;둔각
14;149;17;둔각
27;72;81;예각
2;148;30;둔각
71;30;79;예각
17;75;88;예각
91;2;87;둔각
76;99;5;둔각
55;47;78;예각
58;32;90;직각
61;105;14;둔각
28;147;5;둔각
118;8;54;둔각
69;29;82;예각
68;108;4;둔각
79;46;55;예각
98;53;29;둔각
108;13;59;둔각
30;86;64;예각
8;11;161;둔각
26;92;62;둔각
145;6;29;둔각
144;28;8;둔각
36;24;120;둔각
17;64;99;둔각
39;120;21;둔각
80;9;91;둔각
115;21;44;둔각
31;130;19;둔각
42;20;118;둔각
61;32;87;예각
63;37;80;예각
154;19;7;둔각
85;44;51;예각
99;29;52;둔각
132;10;38;둔각
111;68;1;둔각
80;81;19;예각
82;65;33;예각
16;24;140;둔각
61;69;50;예각
34;107;39;둔각
107;42;31;둔각
66;17;97;둔각
47;53;80;예각
144;30;6;둔각
76;40;64;예각
68;97;15;둔각
92;4;84;둔각
60;88;32;예각
14;35;131;둔각
160;4;16;둔각
140;5;35;둔각
26;70;84;예각
85;55;40;예각
8;163;9;둔각
27;80;73;예각
90;51;39;직각
30;141;9;둔각
52;2;126;둔각
13;55;112;둔각
120;40;20;둔각
4;62;114;둔각
16;15;149;둔각
53;38;89;예각
99;58;23;둔각
36;59;85;예각
38;26;116;둔각
42;19;119;둔각
52;15;113;둔각
29;130;21;둔각
71;85;24;예각
95;78;7;둔각
104;49;27;둔각
61;59;60;예각
2;137;41;둔각
109;57;14;둔각
88;33;59;예각
27;31;122;둔각
100;37;43;둔각
41;130;9;둔각
58;116;6;둔각
114;54;12;둔각
2;54;124;둔각
19;54;107;둔각
83;58;39;예각
67;48;65;예각
26;69;85;예각
87;50;43;예각
101;26;53;둔각
108;16;56;둔각
49;24;107;둔각
68;21;91;둔각
41;48;91;둔각
31;58;91;둔각
79;82;19;예각
106;17;57;둔각
126;1;53;둔각
3;33;144;둔각
40;10;130;둔각
4;98;78;둔각
31;42;107;둔각
3;55;122;둔각
150;6;24;둔각
22;115;43;둔각
5;49;126;둔각
112;43;25;둔각
49;35;96;둔각
21;103;56;둔각
31;25;124;둔각
95;23;62;둔각
28;19;133;둔각
68;50;62;예각
81;87;12;예각
128;46;6;둔각
7;128;45;둔각
50;125;5;둔각
135;31;14;둔각
48;76;56;예각
145;7;28;둔각
87;18;75;예각
10;151;19;둔각
85;79;16;예각
11;144;25;둔각
19;75;86;예각
23;63;94;둔각
13;77;90;직각
45;57;78;예각
25;95;60;둔각
97;11;72;둔각
52;82;46;예각
53;20;107;둔각
30;121;29;둔각
162;4;14;둔각
89;44;47;예각
150;21;9;둔각
30;65;85;예각
67;39;74;예각
16;163;1;둔각
4;47;129;둔각
153;6;21;둔각
78;48;54;예각
42;9;129;둔각
26;86;68;예각
71;106;3;둔각
12;140;28;둔각
95;69;16;둔각
45;60;75;예각
53;109;18;둔각
41;26;113;둔각
29;65;86;예각
92;68;20;둔각
2;96;82;둔각
25;60;95;둔각
35;131;14;둔각
7;103;70;둔각
112;21;47;둔각
78;45;57;예각
7;83;90;직각
50;59;71;예각
30;100;50;둔각
22;33;125;둔각
2;78;100;둔각
15;96;69;둔각
32;17;131;둔각
45;115;20;둔각
27;52;101;둔각
27;85;68;예각
7;11;162;둔각
3;48;129;둔각
50;82;48;예각
69;32;79;예각
72;15;93;둔각
23;94;63;둔각
63;36;81;예각
84;2;94;둔각
33;130;17;둔각
87;61;32;예각
87;10;83;예각
152;23;5;둔각
27;107;46;둔각
17;151;12;둔각
35;84;61;예각
25;46;109;둔각
134;4;42;둔각
78;92;10;둔각
4;136;40;둔각
114;17;49;둔각
30;67;83;예각
68;69;43;예각
70;20;90;직각
40;39;101;둔각
1;166;13;둔각
52;30;98;둔각
4;138;38;둔각
140;14;26;둔각
109;43;28;둔각
14;15;151;둔각
38;50;92;둔각
97;16;67;둔각
17;91;72;둔각
87;8;85;예각
61;30;89;예각
71;31;78;예각
54;83;43;예각
59;77;44;예각
94;36;50;둔각
7;42;131;둔각
34;124;22;둔각
115;29;36;둔각
18;59;103;둔각
64;50;66;예각
123;37;20;둔각
97;54;29;둔각
55;10;115;둔각
74;16;90;직각
35;88;57;예각
75;78;27;예각
45;68;67;예각
17;113;50;둔각
24;83;73;예각
61;76;43;예각
84;92;4;둔각
46;7;127;둔각
28;13;139;둔각
132;16;32;둔각
37;90;53;직각
50;12;118;둔각
83;43;54;예각
18;69;93;둔각
58;18;104;둔각
28;2;150;둔각
68;22;90;직각
148;14;18;둔각
28;146;6;둔각
29;87;64;예각
85;19;76;예각
166;8;6;둔각
33;16;131;둔각
59;18;103;둔각
105;28;47;둔각
51;71;58;예각
12;64;104;둔각
17;155;8;둔각
39;79;62;예각
83;10;87;예각
79;80;21;예각
27;12;141;둔각
39;20;121;둔각
30;91;59;둔각
20;34;126;둔각
140;8;32;둔각
47;118;15;둔각
38;6;136;둔각
46;17;117;둔각
40;110;30;둔각
47;76;57;예각
45;131;4;둔각
55;49;76;예각
80;99;1;둔각
91;31;58;둔각
32;138;10;둔각
75;24;81;예각
73;67;40;예각
30;149;1;둔각
63;17;100;둔각
62;60;58;예각
25;25;130;둔각
32;64;84;예각
50;97;33;둔각
32;86;62;예각
61;89;30;예각
21;115;44;둔각
20;145;15;둔각
68;55;57;예각
44;82;54;예각
74;83;23;예각
9;64;107;둔각
74;11;95;둔각
113;63;4;둔각
110;11;59;둔각
11;43;126;둔각
72;20;88;예각
62;56;62;예각
155;2;23;둔각
33;90;57;직각
126;52;2;둔각
15;126;39;둔각
62;102;16;둔각
97;36;47;둔각
40;130;10;둔각
5;15;160;둔각
1;129;50;둔각
125;54;1;둔각
90;53;37;직각
47;105;28;둔각
123;10;47;둔각
39;67;74;예각
104;3;73;둔각
30;85;65;예각
147;25;8;둔각
99;49;32;둔각
150;5;25;둔각
122;17;41;둔각
64;84;32;예각
13;56;111;둔각
4;54;122;둔각
95;72;13;둔각
61;75;44;예각
52;124;4;둔각
145;31;4;둔각
5;20;155;둔각
75;8;97;둔각
20;56;104;둔각
52;121;7;둔각
112;48;20;둔각
97;21;62;둔각
17;29;134;둔각
70;47;63;예각
76;81;23;예각
3;82;95;둔각
12;18;150;둔각
116;60;4;둔각
88;73;19;예각
4;28;148;둔각
86;1;93;둔각
126;46;8;둔각
79;22;79;예각
44;128;8;둔각
41;92;47;둔각
38;20;122;둔각
1;71;108;둔각
98;44;38;둔각
13;63;104;둔각
60;7;113;둔각
130;17;33;둔각
68;53;59;예각
54;37;89;예각
23;6;151;둔각
23;121;36;둔각
115;54;11;둔각
80;76;24;예각
29;1;150;둔각
9;85;86;예각
137;20;23;둔각
84;80;16;예각
